Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Year,Month,Day,Hour
90554.48,11,10,17,16,5,0,2023,7,9,18
6613.73,10,10,16,16,4,0,2023,3,3,6
5628.89,10,10,16,16,6,0,2023,2,3,14
8191.37,10,10,16,16,3,0,2023,4,25,18
11980.07,10,10,16,16,3,0,2023,7,19,8
3040.4,10,2,16,3,5,0,2023,6,7,9
6187.11,10,10,16,16,4,0,2023,4,9,19
9495.83,10,10,16,16,4,0,2023,1,29,9
6999.04,12,10,6,16,5,0,2023,4,12,20
91.1,10,10,16,16,6,0,2023,6,8,13
6296.85,10,10,16,16,0,0,2022,12,9,4
5369.67,10,10,16,16,4,0,2022,11,11,8
6007.4,10,9,16,14,5,0,2023,3,22,13
5177.95,10,10,16,16,4,0,2023,7,23,15
4755.13,10,10,16,16,0,0,2022,11,17,10
11085.4,2,2,5,16,5,0,2023,8,21,23
77.93,10,10,16,16,4,0,2022,11,10,21
113.66,10,10,16,16,2,0,2023,7,29,0
14073.44,10,10,16,16,3,0,2022,12,3,9
6073.61,10,10,16,16,6,0,2023,8,3,11
784.47,10,10,16,16,6,0,2023,3,22,0
5025.45,10,10,16,16,0,0,2022,11,11,13
294.21,10,10,16,16,4,0,2023,3,13,11
5923.92,10,10,16,16,6,0,2022,10,14,9
4423.19,10,10,16,16,3,0,2023,6,13,18
4546.9,10,10,16,16,6,0,2023,2,19,18
10063.66,10,10,16,16,0,0,2023,5,28,1
5997.13,10,10,16,16,6,0,2022,10,26,21
21997.81,10,10,16,16,0,0,2023,5,6,23
1671.59,10,10,16,16,3,0,2023,3,1,10
16792.43,10,10,16,16,4,0,2023,1,26,9
12523.06,10,10,16,16,6,0,2023,5,13,19
7292.49,10,10,16,16,4,0,2023,6,12,19
10954.57,10,10,16,16,0,0,2023,5,6,13
7338.9,10,6,16,10,5,0,2023,3,15,22
429.46,10,10,16,16,0,0,2022,11,29,11
300.24,10,10,16,16,1,0,2022,11,1,16
19474.23,10,10,16,16,6,0,2023,4,22,17
4344.6,5,10,16,16,4,0,2023,1,14,11
78105.28,10,3,16,16,4,0,2023,2,11,23
17490.84,10,10,16,16,0,0,2023,1,6,5
8956.25,10,10,16,16,3,0,2023,6,7,9
5526.63,10,10,16,16,6,0,2023,3,13,11
4329.62,10,10,16,16,6,0,2022,12,11,14
6725.86,10,10,16,16,4,0,2023,6,1,21
3020.27,10,10,16,16,6,0,2022,10,15,16
22854.96,10,10,16,16,0,0,2023,6,25,14
270.63,10,10,16,16,2,0,2022,11,27,6
16566.05,10,10,16,16,4,0,2022,12,16,15
32522.91,10,10,16,16,4,0,2023,5,25,19
450.24,10,10,16,16,4,0,2023,1,29,14
11934.27,10,10,16,16,0,0,2023,5,27,20
4508.62,10,10,16,16,0,0,2023,7,19,12
6962.97,10,10,16,16,4,0,2023,3,11,11
272.48,10,10,16,16,4,0,2023,2,6,3
982.2,10,10,16,16,0,0,2023,5,30,21
15394.34,10,10,16,16,3,0,2023,8,16,9
14808.83,10,10,16,16,4,0,2023,8,12,17
1388.22,10,10,16,16,3,0,2023,6,25,19
13252.82,10,10,16,16,0,0,2023,7,30,15
6187.21,10,10,16,16,0,0,2023,6,13,14
338.91,10,10,16,16,1,0,2023,4,21,10
14876.94,10,10,16,16,3,0,2022,12,28,11
11471.53,10,10,16,16,6,0,2023,6,10,17
3815.74,10,10,16,16,6,0,2023,3,19,17
11381.95,10,10,16,16,3,0,2023,2,6,9
2584.84,10,10,16,16,6,0,2023,5,26,19
2710.94,10,10,16,16,4,0,2022,11,2,8
11140.53,10,10,16,16,3,0,2023,2,22,8
3116.92,10,10,16,16,0,0,2022,10,8,11
8328.5,10,10,16,16,6,0,2023,4,18,17
3980.58,10,10,16,16,0,0,2023,1,20,5
17987.94,10,10,16,16,4,0,2022,11,8,18
14323.82,10,10,16,16,0,0,2023,7,9,23
6260.63,10,10,16,16,0,0,2023,7,7,20
10059.66,10,10,16,16,6,0,2022,10,10,19
7681.19,10,10,16,16,3,0,2022,11,21,18
3274.33,10,10,16,16,0,0,2022,10,11,8
7244.43,10,10,16,16,3,0,2022,10,17,23
10593.87,10,10,16,16,0,0,2023,1,6,19
7376.11,10,10,16,16,0,0,2023,3,3,23
15616.24,10,10,16,16,0,0,2023,2,3,13
4800.72,10,10,16,16,4,0,2023,6,9,11
14572.74,10,10,16,16,4,0,2023,6,11,15
7776.29,10,10,16,16,4,0,2023,6,8,0
138192.44,10,10,16,16,3,0,2023,4,8,22
3771.27,10,10,16,16,6,0,2023,1,7,21
4011.52,10,10,16,16,0,0,2023,5,10,17
4190.54,10,10,16,16,3,0,2023,4,8,22
11443.48,10,10,16,16,3,0,2023,4,29,14
2894.35,10,10,16,16,4,0,2022,12,12,22
335.23,10,10,16,16,4,0,2022,12,4,9
4982.57,10,10,16,16,0,0,2023,1,12,12
14264.79,10,10,16,16,4,0,2023,4,17,13
442.2,10,10,16,16,1,0,2023,4,7,8
6146.11,10,10,16,16,0,0,2023,1,15,8
14186.78,10,8,16,13,5,0,2022,11,23,2
7050.84,10,10,16,16,6,0,2023,1,29,4
5890.0,10,10,16,16,3,0,2023,3,29,18
2010.23,10,10,16,16,6,0,2023,4,18,18
93.29,10,10,16,16,4,0,2023,6,9,21
6657.36,10,2,16,12,5,0,2023,3,25,17
8804.96,10,10,16,16,6,0,2023,3,31,8
6970.82,10,10,16,16,6,0,2023,1,5,8
525.38,10,10,16,16,6,0,2023,3,27,6
7804.82,10,10,16,16,4,0,2023,4,19,12
13339.51,10,10,16,16,3,0,2023,3,22,13
13361.83,10,10,16,16,0,0,2023,3,11,17
7978.07,0,2,16,5,5,0,2023,7,3,18
13958.22,7,10,11,16,5,0,2023,4,1,5
2950.21,10,10,16,16,0,0,2022,10,20,13
3524.78,10,10,16,16,3,0,2023,8,16,9
5732.35,10,10,16,16,6,0,2022,11,16,19
78.83,10,10,16,16,4,0,2022,10,26,10
16993.35,10,10,16,16,6,0,2023,5,1,22
3146.01,10,10,16,16,0,0,2023,2,15,23
6784.19,10,10,16,16,0,0,2023,7,30,15
9907.34,10,10,16,16,0,0,2023,8,1,18
4217.65,10,10,16,16,0,0,2022,12,26,15
2021.59,10,10,16,16,6,0,2023,1,8,10
372.71,10,10,16,16,3,0,2023,5,15,20
1983.45,10,10,16,16,0,0,2023,8,15,14
15927.55,10,10,16,16,6,0,2023,5,25,6
5073.13,10,10,16,16,3,0,2022,12,20,11
7511.13,10,10,16,16,4,0,2023,6,9,17
2868.29,10,10,16,16,0,0,2023,4,30,13
6177.44,10,10,16,16,6,0,2023,3,21,19
783.46,10,10,16,16,6,0,2023,6,29,9
7004.04,10,10,16,16,4,0,2023,2,24,9
10623.82,10,10,16,16,6,0,2023,7,18,9
8806.79,10,10,16,16,6,0,2023,7,1,18
6796.4,10,10,16,16,6,0,2023,4,21,19
9044.16,10,10,16,16,0,0,2023,1,25,8
11000.21,10,10,16,16,4,0,2022,12,31,18
10169.64,10,10,16,16,4,0,2023,2,5,9
5951.48,10,10,16,16,6,0,2022,10,24,22
9285.01,10,10,16,16,0,0,2022,12,6,11
7517.29,10,10,16,16,3,0,2022,12,5,13
7064.26,10,10,16,16,3,0,2022,11,14,18
30134.14,10,10,16,16,0,0,2022,11,14,22
5665.59,10,10,16,16,4,0,2023,2,7,18
4852.12,10,10,16,16,6,0,2023,7,19,8
4951.76,10,10,16,16,0,0,2022,10,17,21
2991.51,10,10,16,16,0,0,2022,11,5,18
313.46,10,10,16,16,6,0,2023,4,1,11
11857.4,10,2,16,5,5,0,2023,6,11,11
10158.3,11,10,17,16,5,0,2023,2,19,5
2719.12,10,10,16,16,3,0,2023,1,21,20
8714.44,10,10,16,16,6,0,2023,2,15,7
2502.2,10,10,16,16,1,0,2022,11,17,12
585.05,10,10,16,16,3,0,2023,4,28,14
183.87,10,10,16,16,2,0,2022,12,21,23
2172.24,10,10,16,16,6,0,2022,12,31,23
24994.71,10,10,16,16,6,0,2022,10,17,18
984.51,10,10,16,16,0,0,2023,3,24,20
8080.1,10,4,16,7,5,0,2022,12,10,9
4230.62,10,10,16,16,0,0,2023,6,7,14
17329.19,10,10,16,16,3,0,2023,6,13,1
8257.51,10,10,16,16,0,0,2023,1,27,20
13302.38,10,10,16,16,4,0,2023,3,5,9
1886.52,10,10,16,16,4,0,2022,11,5,21
13524.99,10,10,16,16,0,0,2023,6,17,2
7825.72,10,10,16,16,6,0,2022,11,26,2
14739.93,10,10,16,16,0,0,2023,6,23,18
8706.84,10,10,16,16,3,0,2023,2,19,9
1039.65,10,10,16,16,3,0,2023,6,4,15
6581.79,9,10,14,16,5,0,2023,2,16,20
543.6,10,10,16,16,0,0,2022,10,27,22
233.01,10,10,16,16,0,0,2023,7,17,12
8226.96,10,10,16,16,4,0,2023,2,7,19
8346.52,10,10,16,16,0,0,2023,2,21,22
2036.78,10,10,16,16,6,0,2023,3,1,9
7189.31,5,10,16,16,4,0,2023,8,15,15
6208.88,10,10,16,16,0,0,2022,11,21,16
7884.58,10,10,16,16,3,0,2023,3,8,16
9956.88,10,10,16,16,0,0,2023,3,3,23
10588.68,10,10,16,16,3,0,2023,3,4,14
3462.88,1,10,15,16,5,0,2023,6,3,19
855.53,10,10,16,16,6,0,2023,5,22,10
3231.49,10,10,16,16,1,0,2023,1,25,13
4275.63,10,10,16,16,0,0,2023,2,13,8
8135.47,10,10,16,16,3,0,2023,6,1,21
20720.77,10,10,16,16,3,0,2022,10,13,10
6683.69,10,10,16,16,6,0,2023,7,7,21
9500.91,10,10,16,16,0,0,2023,5,10,12
26190.19,10,10,16,16,4,0,2022,12,14,9
1058.46,10,10,16,16,4,0,2023,4,7,11
5012.29,1,10,16,16,3,0,2022,11,22,13
8646.71,10,11,16,17,5,0,2023,2,22,14
5001.98,10,10,16,16,4,0,2023,5,11,15
28770.45,10,10,16,16,3,0,2022,10,29,10
35.1,10,10,16,16,0,0,2022,10,22,14
78.85,10,8,16,13,5,0,2022,11,22,7
10066.51,10,10,16,16,0,0,2023,3,18,18
15400.47,10,10,16,16,0,0,2023,7,3,8
433.28,10,10,16,16,3,0,2022,11,17,13
12210.64,10,10,16,16,0,0,2022,11,6,20
48.28,10,10,16,16,2,0,2023,2,17,5
118.89,10,10,16,16,2,0,2023,8,3,3
27.41,10,10,16,16,2,0,2023,6,1,8
250.26,10,10,16,16,2,0,2022,12,24,22
21354.67,10,10,16,16,3,0,2022,12,5,7
6047.5,10,10,16,16,0,0,2022,11,9,12
5637.09,0,10,0,16,5,0,2022,10,20,20
10458.61,10,10,16,16,0,0,2023,8,5,23
27675.76,10,10,16,16,3,0,2023,8,11,11
636.56,10,10,16,16,4,0,2022,11,27,17
2461.74,10,10,16,16,4,0,2023,3,11,14
8301.03,10,10,16,16,4,0,2022,12,19,12
7328.68,10,10,16,16,6,0,2023,4,1,17
5127.79,10,10,16,16,0,0,2023,7,9,14
14694.73,10,10,16,16,0,0,2023,1,6,21
12368.66,10,10,16,16,6,0,2023,4,18,13
1646.39,10,10,16,16,0,0,2023,6,5,10
9997.31,10,10,16,16,3,0,2023,6,25,22
12520.26,10,10,16,16,6,0,2023,8,13,17
383.01,10,10,16,16,6,0,2022,12,4,7
2658.57,10,10,16,16,3,0,2022,11,24,21
6594.1,10,10,16,16,6,0,2023,1,29,18
7487.79,10,10,16,16,4,0,2023,5,7,22
11777.49,10,10,16,16,4,0,2023,2,1,18
14728.46,10,10,16,16,3,0,2023,2,22,19
10642.11,10,10,16,16,4,0,2022,11,17,8
4798.24,1,10,15,16,5,0,2023,3,23,17
641.66,10,10,16,16,0,0,2023,8,10,11
5847.21,10,10,16,16,0,0,2023,8,3,23
7517.33,10,10,16,16,3,0,2023,3,4,14
159.34,10,10,16,16,0,0,2023,2,13,23
5429.61,2,10,2,16,5,0,2022,12,16,23
2325.71,10,10,16,16,4,0,2023,2,17,8
3833.43,10,10,16,16,4,0,2023,6,19,23
13636.26,10,10,16,16,4,0,2022,11,10,9
12132.91,10,6,16,10,5,0,2023,3,10,23
5500.34,10,10,16,16,6,0,2023,1,28,14
24068.12,10,10,16,16,4,0,2023,1,22,18
9482.38,10,10,16,16,4,0,2022,10,17,22
4217.86,10,10,16,16,4,0,2023,1,6,17
4356.18,10,10,16,16,4,0,2023,6,7,17
64.36,10,10,16,16,2,0,2023,2,12,23
6019.41,10,10,16,16,0,0,2022,11,28,15
15050.41,10,10,16,16,4,0,2023,4,11,14
5041.06,10,10,16,16,0,0,2023,4,3,11
7911.96,10,10,16,16,3,0,2023,4,26,23
1626.64,10,10,16,16,6,0,2022,11,4,11
4917.46,10,10,16,16,0,0,2022,12,5,14
13389.34,10,4,16,7,5,0,2023,3,5,20
212.66,10,10,16,16,6,0,2022,12,18,9
6319.52,10,10,16,16,4,0,2023,4,28,15
9868.88,10,10,16,16,6,0,2023,4,29,13
6623.44,10,10,16,16,0,0,2022,12,5,4
6848.37,10,10,16,16,4,0,2023,6,8,9
993.05,10,10,16,16,0,0,2023,8,22,3
9343.66,6,10,10,16,5,0,2022,11,30,17
6013.14,10,10,16,16,3,0,2023,6,14,13
14408.25,10,10,16,16,6,0,2023,7,29,18
4240.72,10,10,16,16,3,0,2022,12,10,0
9750.63,10,10,16,16,4,0,2023,2,20,10
537.29,10,10,16,16,1,0,2022,12,15,9
257.77,10,10,16,16,6,0,2023,5,6,20
499.32,10,10,16,16,6,0,2023,5,29,17
10698.52,10,4,16,7,5,0,2023,2,24,6
6151.56,10,10,16,16,3,0,2023,8,6,9
28601.99,10,10,16,16,0,0,2022,11,7,16
13713.15,10,10,16,16,3,0,2023,8,17,4
8169.84,6,10,10,16,5,0,2023,8,19,10
2665.09,10,10,16,16,6,0,2023,4,7,14
4849.02,10,10,16,16,0,0,2023,8,11,10
12999.91,10,10,16,16,0,0,2023,2,8,23
6888.46,10,2,16,12,5,0,2023,2,9,22
10213.4,10,10,16,16,0,0,2023,1,24,23
17485.8,10,10,16,16,3,0,2023,6,2,22
8368.63,10,10,16,16,0,0,2023,6,5,6
6102.89,10,0,16,0,5,0,2022,11,1,16
4270.17,10,10,16,16,4,0,2022,10,23,16
6425.68,10,10,16,16,3,0,2023,2,17,9
6171.2,10,10,16,16,0,0,2022,12,21,7
4279.51,10,10,16,16,6,0,2023,5,29,23
4610.25,10,10,16,16,1,0,2023,1,19,12
8851.44,10,10,16,16,3,0,2022,11,29,21
7068.18,10,10,16,16,3,0,2023,1,17,23
10673.98,10,10,16,16,6,0,2022,12,31,20
12234.16,10,10,16,16,3,0,2023,2,17,21
7403.74,10,10,16,16,0,0,2022,11,26,16
17140.88,10,10,16,16,6,0,2023,8,1,11
924.47,10,10,16,16,4,0,2023,4,8,14
9316.76,10,10,16,16,3,0,2022,12,16,16
501.17,10,10,16,16,6,0,2023,8,5,9
36.2,10,10,16,16,2,0,2022,10,26,0
8092.51,10,10,16,16,6,0,2023,3,2,22
2400.13,10,10,16,16,3,0,2022,11,18,19
6014.59,10,10,16,16,4,0,2023,8,13,13
1044.71,10,10,16,16,1,0,2023,3,13,9
1274.61,10,10,16,16,3,0,2022,12,3,17
1458.88,10,10,16,16,4,0,2023,5,3,5
1095.43,10,10,16,16,6,0,2023,1,26,13
16579.88,10,10,16,16,3,0,2023,2,1,12
2073.76,10,10,16,16,4,0,2023,7,11,2
6187.74,10,10,16,16,4,0,2023,4,12,13
4398.61,10,10,16,16,0,0,2023,2,25,13
1844.92,10,10,16,16,4,0,2022,11,7,19
4549.53,11,10,17,16,5,0,2023,8,11,16
1025.29,10,3,16,16,1,0,2022,12,20,15
9211.88,10,10,16,16,3,0,2022,10,30,16
784.61,10,10,16,16,4,0,2022,12,24,14
12771.85,10,10,16,16,0,0,2023,5,24,15
734.05,10,10,16,16,1,0,2023,6,8,17
1419.92,10,10,16,16,4,0,2023,2,12,15
24162.87,10,10,16,16,3,0,2023,5,5,14
14901.7,10,10,16,16,3,0,2023,6,24,9
3289.67,10,10,16,16,4,0,2023,6,10,8
29272.91,10,10,16,16,4,0,2022,12,9,14
4431.43,10,10,16,16,4,0,2023,5,16,10
3731.6,10,10,16,16,3,0,2023,4,11,15
8361.54,10,10,16,16,6,0,2023,3,28,8
9325.24,10,10,16,16,3,0,2023,4,14,12
190.84,10,10,16,16,2,0,2023,7,20,1
4407.68,10,10,16,16,0,0,2022,11,12,23
7888.76,10,10,16,16,6,0,2022,10,18,19
4149.2,10,10,16,16,4,0,2023,7,15,12
13443.24,10,10,16,16,6,0,2023,6,14,23
11880.5,10,10,16,16,6,0,2023,2,11,19
5860.32,10,10,16,16,3,0,2023,5,24,8
16648.45,10,10,16,16,0,0,2023,3,13,8
5694.73,10,10,16,16,3,0,2022,12,19,8
220.92,10,10,16,16,3,0,2022,12,1,10
10916.33,10,10,16,16,3,0,2023,1,19,16
20368.95,10,10,16,16,6,0,2023,6,18,22
6354.32,10,10,16,16,4,0,2023,6,13,1
65.11,10,10,16,16,4,0,2023,7,20,14
7305.13,10,10,16,16,6,0,2023,7,28,12
124.8,10,10,16,16,4,0,2023,2,27,16
9006.41,10,10,16,16,6,0,2023,4,15,18
10427.25,10,10,16,16,4,0,2023,5,27,9
29796.07,10,10,16,16,3,0,2023,5,8,23
2172.2,10,10,16,16,6,0,2022,11,30,17
6610.84,10,10,16,16,0,0,2022,11,16,14
8971.2,10,10,16,16,6,0,2023,5,2,10
20730.44,10,10,16,16,0,0,2023,3,4,1
4689.71,10,10,16,16,3,0,2022,11,6,8
7376.31,10,10,16,16,6,0,2023,5,18,19
228.19,10,10,16,16,2,0,2023,5,5,19
10190.05,10,10,16,16,4,0,2023,2,17,12
279.59,10,10,16,16,4,0,2023,7,27,10
8061.18,10,10,16,16,6,0,2022,10,8,19
15092.51,10,10,16,16,3,0,2023,7,29,23
5554.9,10,10,16,16,0,0,2023,6,25,18
10348.59,10,10,16,16,0,0,2023,1,27,12
5558.94,10,10,16,16,3,0,2023,1,10,19
4905.87,10,10,16,16,6,0,2023,3,5,12
5382.6,10,6,16,10,5,0,2023,1,27,23
1820.21,10,10,16,16,3,0,2023,5,6,8
3209.2,10,10,16,16,3,0,2023,8,19,21
5827.23,10,10,16,16,3,0,2023,8,13,22
497.55,10,10,16,16,4,0,2023,2,6,10
7854.54,10,10,16,16,6,0,2023,2,9,10
6185.44,10,10,16,16,4,0,2023,1,16,20
4142.28,10,10,16,16,0,0,2023,7,16,11
135.6,10,10,16,16,2,0,2022,10,29,11
3255.76,9,10,14,16,5,0,2023,5,3,20
5446.61,10,10,16,16,3,0,2023,3,24,10
5364.69,10,10,16,16,3,0,2023,4,18,17
6155.56,10,10,16,16,4,0,2023,7,12,18
5340.41,10,10,16,16,3,0,2023,8,22,17
798.43,10,10,16,16,6,0,2023,4,18,18
6207.86,10,10,16,16,6,0,2023,7,2,0
7277.86,10,6,16,10,5,0,2022,11,2,11
7976.08,10,10,16,16,6,0,2023,3,9,8
6336.78,10,10,16,16,0,0,2023,8,18,11
10297.44,10,10,16,16,0,0,2023,3,6,19
8441.79,10,10,16,16,6,0,2022,11,29,16
975.75,10,10,16,16,6,0,2023,6,6,8
118.7,10,10,16,16,2,0,2023,4,9,20
5614.33,10,10,16,16,0,0,2023,8,12,11
149.92,10,10,16,16,3,0,2023,3,4,14
191.04,10,10,16,16,3,0,2023,8,22,14
9679.39,10,7,16,11,5,0,2022,10,31,23
7159.39,10,10,16,16,6,0,2023,5,23,15
5553.32,10,10,16,16,4,0,2023,6,5,11
634.64,10,10,16,16,1,0,2022,12,5,10
6195.57,10,10,16,16,4,0,2022,12,26,20
1085.99,10,10,16,16,6,0,2023,1,2,19
11456.66,10,2,16,9,5,0,2023,5,23,19
5905.83,10,10,16,16,6,0,2022,11,5,5
340.99,10,2,16,16,4,0,2023,3,11,21
16008.37,12,10,6,16,5,0,2023,4,16,7
4634.13,10,10,16,16,0,0,2023,6,26,13
530.59,10,10,16,16,0,0,2022,12,30,23
37248.7,10,10,16,16,0,0,2023,4,1,7
352.2,10,10,16,16,3,0,2023,5,2,10
5014.83,10,10,16,16,0,0,2022,11,5,9
840.63,10,10,16,16,4,0,2023,2,2,21
3536.99,10,10,16,16,3,0,2023,1,27,14
16655.66,10,10,16,16,3,0,2022,10,18,16
16884.32,10,10,16,16,6,0,2023,1,6,1
295.19,10,9,16,14,5,0,2023,8,11,21
9061.82,10,10,16,16,3,0,2023,7,3,19
6919.69,10,10,16,16,3,0,2023,4,16,21
375.03,5,10,8,16,5,0,2022,12,28,19
4549.13,10,10,16,16,4,0,2022,10,21,15
4727.33,10,10,16,16,4,0,2023,3,6,8
17772.45,10,10,16,16,6,0,2023,1,25,20
238.21,10,10,16,16,2,0,2023,6,30,20
926.98,10,10,16,16,4,0,2022,12,6,16
11535.21,10,10,16,16,6,0,2022,12,31,22
1936.76,10,10,16,16,6,0,2023,6,11,8
4438.41,10,10,16,16,0,0,2022,11,15,10
256.84,10,10,16,16,2,0,2023,5,9,7
12317.67,10,10,16,16,4,0,2023,7,3,21
7346.65,10,10,16,16,3,0,2023,2,27,0
864.76,10,10,16,16,0,0,2023,1,21,20
19849.46,10,10,16,16,6,0,2023,6,24,2
8396.97,10,1,16,15,5,0,2023,3,9,12
2037.6,10,10,16,16,0,0,2023,2,20,13
2345.68,10,10,16,16,1,0,2023,3,13,12
369.45,10,10,16,16,0,0,2023,5,4,22
11773.5,10,10,16,16,3,0,2023,3,22,10
54.01,10,10,16,16,2,0,2022,10,28,23
17978.45,10,10,16,16,4,0,2023,2,4,19
8136.33,10,10,16,16,6,0,2023,7,12,10
6147.87,10,10,16,16,3,0,2023,4,13,9
1942.14,8,10,13,16,5,0,2023,3,25,21
6807.78,10,10,16,16,4,0,2023,6,11,16
11772.76,10,10,16,16,3,0,2023,3,20,15
11527.63,10,10,16,16,4,0,2022,11,10,8
8415.64,10,9,16,14,5,0,2022,10,7,12
10830.47,10,1,16,16,4,0,2023,6,16,10
9234.51,10,10,16,16,6,0,2023,4,20,19
9860.93,10,10,16,16,3,0,2023,7,6,17
5115.28,10,10,16,16,0,0,2023,6,15,20
5891.05,10,10,16,16,3,0,2023,6,14,15
